                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 0.5004,                0.29443,                0.86571,                0.92496,                      1,                0.98909,                 0.9612,                0.25069,                0.28455,                0.91572,               0.000755,               0.000755,               0.000755
                    123,                0.50294,                 0.2983,                0.85444,                 0.9963,                      1,                  0.995,                0.98343,                0.20918,                0.18968,                0.90816,             0.00075088,             0.00075088,             0.00075088
                    124,                0.52752,                0.30062,                0.86208,                0.99666,                      1,                  0.995,                0.97793,                 0.2424,                0.20753,                0.90915,             0.00074675,             0.00074675,             0.00074675
                    125,                0.48983,                0.28724,                0.84621,                0.99697,                      1,                  0.995,                0.97855,                0.25313,                0.20743,                0.91516,             0.00074263,             0.00074263,             0.00074263
                    126,                0.51532,                0.29843,                0.86057,                0.99584,                      1,                  0.995,                0.96872,                0.26123,                0.25374,                0.91791,              0.0007385,              0.0007385,              0.0007385
                    127,                0.51443,                0.29885,                 0.8576,                0.99516,                      1,                  0.995,                0.96721,                0.22674,                0.19449,                0.90752,             0.00073437,             0.00073437,             0.00073437
                    128,                0.48361,                0.28785,                 0.8532,                0.99437,                      1,                  0.995,                0.96978,                0.25204,                0.24173,                0.90701,             0.00073025,             0.00073025,             0.00073025
                    129,                0.52704,                0.29769,                0.86249,                0.99611,                      1,                  0.995,                0.96805,                0.24786,                0.21171,                0.91262,             0.00072612,             0.00072612,             0.00072612
                    130,                0.51693,                0.29337,                  0.852,                0.99699,                      1,                  0.995,                0.98864,                0.20831,                0.18562,                0.90626,               0.000722,               0.000722,               0.000722
                    131,                0.50719,                0.29069,                0.85756,                0.99547,                      1,                  0.995,                0.98978,                0.19631,                0.18505,                0.90497,             0.00071788,             0.00071788,             0.00071788
                    132,                0.47879,                0.28782,                0.85038,                0.99811,                      1,                  0.995,                0.98413,                0.23232,                0.19503,                0.90637,             0.00071375,             0.00071375,             0.00071375
                    133,                0.49197,                0.28473,                0.84952,                0.99768,                      1,                  0.995,                0.97256,                0.25477,                0.20138,                0.90894,             0.00070962,             0.00070962,             0.00070962
                    134,                0.47941,                0.27762,                0.85869,                0.99748,                      1,                  0.995,                0.98802,                0.22556,                0.19093,                0.91136,              0.0007055,              0.0007055,              0.0007055
                    135,                0.47851,                0.28306,                 0.8547,                0.99477,                      1,                  0.995,                0.98241,                0.19666,                0.18266,                0.90664,             0.00070137,             0.00070137,             0.00070137
                    136,                0.47001,                0.26983,                0.84732,                0.99572,                      1,                  0.995,                0.98069,                0.20413,                0.18392,                0.90391,             0.00069725,             0.00069725,             0.00069725
                    137,                0.46587,                0.27043,                 0.8425,                0.99648,                      1,                  0.995,                 0.9638,                0.24819,                0.19268,                0.91118,             0.00069313,             0.00069313,             0.00069313
                    138,                0.46834,                  0.275,                0.84212,                0.99765,                      1,                  0.995,                0.98332,                0.20771,                0.18377,                0.90503,               0.000689,               0.000689,               0.000689
                    139,                0.49586,                0.28569,                0.85391,                0.99741,                      1,                  0.995,                0.97106,                0.21193,                  0.177,                0.90452,             0.00068488,             0.00068488,             0.00068488
                    140,                0.44971,                0.27472,                0.83554,                0.99761,                      1,                  0.995,                0.97709,                0.19569,                0.17767,                0.90406,             0.00068075,             0.00068075,             0.00068075
                    141,                0.45417,                0.27124,                 0.8423,                0.99767,                      1,                  0.995,                0.98753,                0.21107,                0.17455,                0.90369,             0.00067663,             0.00067663,             0.00067663
                    142,                0.48376,                0.28088,                0.84712,                0.99541,                      1,                  0.995,                0.96135,                0.24531,                0.18432,                0.90545,              0.0006725,              0.0006725,              0.0006725
                    143,                0.49307,                0.28488,                0.85879,                0.99553,                      1,                  0.995,                0.99189,                0.19749,                0.16837,                0.90873,             0.00066838,             0.00066838,             0.00066838
                    144,                0.45415,                0.27066,                0.84885,                0.99667,                      1,                  0.995,                0.98717,                0.21184,                0.17994,                 0.9068,             0.00066425,             0.00066425,             0.00066425
                    145,                0.45718,                0.26605,                0.84338,                 0.9964,                      1,                  0.995,                0.98796,                0.24298,                0.18747,                0.90796,             0.00066013,             0.00066013,             0.00066013
                    146,                0.46643,                0.27516,                0.83534,                0.99683,                      1,                  0.995,                0.98396,                0.23189,                0.19253,                  0.908,               0.000656,               0.000656,               0.000656
                    147,                0.45957,                 0.2692,                0.85237,                0.99645,                      1,                  0.995,                0.97873,                0.18786,                0.18198,                0.90139,             0.00065188,             0.00065188,             0.00065188
                    148,                0.46157,                0.27299,                0.84462,                0.99564,                      1,                  0.995,                0.98175,                0.20708,                0.17615,                 0.9066,             0.00064775,             0.00064775,             0.00064775
                    149,                0.47264,                 0.2727,                0.85637,                0.99612,                      1,                  0.995,                0.97315,                0.21292,                0.17434,                0.90721,             0.00064362,             0.00064362,             0.00064362
                    150,                0.46275,                0.28102,                0.83958,                0.99685,                      1,                  0.995,                0.97039,                 0.2055,                0.16756,                0.90296,              0.0006395,              0.0006395,              0.0006395
                    151,                0.44518,                0.26911,                0.83185,                0.99812,                      1,                  0.995,                 0.9882,                0.16975,                0.13659,                0.90651,             0.00063538,             0.00063538,             0.00063538
                    152,                0.44885,                0.27186,                0.84738,                0.99801,                      1,                  0.995,                0.98488,                0.19365,                0.15824,                0.90258,             0.00063125,             0.00063125,             0.00063125
                    153,                0.45156,                 0.2704,                0.84396,                0.99773,                      1,                  0.995,                0.98734,                0.21088,                0.17805,                0.90292,             0.00062713,             0.00062713,             0.00062713
                    154,                0.44897,                0.26255,                 0.8368,                0.99832,                      1,                  0.995,                0.99007,                0.20352,                0.16309,                0.90825,               0.000623,               0.000623,               0.000623
                    155,                0.44559,                0.26305,                0.83528,                 0.9989,                      1,                  0.995,                 0.9824,                 0.2384,                0.19339,                0.90516,             0.00061887,             0.00061887,             0.00061887
                    156,                0.46182,                0.26493,                0.83558,                0.99768,                      1,                  0.995,                0.98097,                 0.1986,                0.19146,                0.90663,             0.00061475,             0.00061475,             0.00061475
                    157,                0.46013,                0.27379,                 0.8356,                0.99792,                      1,                  0.995,                0.99387,                 0.1794,                0.16977,                0.90432,             0.00061062,             0.00061062,             0.00061062
